"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage"
"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Him Her - Present For Men Women Turning 50 Year Old Gifts For Mom, Dad, Wife, Husband - 20 Oz Tumbler COG: 3,29 / Price: 19,98";"B0DH7YGD9Q";"EC-NYJH-0YZA";"33";"3";"659,34";"";"-158,03";"-158,03";"";"";"";"";"";"9,09";"50";"-48,73";"-245,85";"-108,57";"";"98,16";"98,16";"203,44";"";"14,89";"90,41";"2 488";"23,97";"160";"20,63"
"NewEleven Retirement Gifts For Men 2025 - Coworker Leaving, Goodbye Gift, Farewell Gifts For Coworkers, Friends, Dad, Grandpa - Retirement Gift For Men From Friend, Family, Colleague - Whiskey Glass COG: 1,96 / Price: 22,98";"B0F18CMJ3L";"CU-4EWE-9UH1";"24";"2";"551,52";"-6,9";"-81,18";"-81,18";"";"";"";"";"";"8,33";"-";"-39,88";"-199,18";"-47,04";"";"177,34";"177,34";"224,38";"";"32,15";"377,00";"5 999";"14,72";"132";"18,18"
"NewEleven Gifts For Mom, New Mother - Gifts For a Mom of Boys, Pregnant Mother, Expecting Momomy, Mama, Moms To Be, Mommy To Be - 16 Oz Coffee Glass COG: 2,8 / Price: 15,98";"B0CRVTN11L";"Y1-7KOS-V5KR";"19";"";"303,62";"";"-97,77";"-97,77";"";"";"";"";"";"";"-";"";"-144,97";"-53,2";"";"7,68";"7,68";"60,88";"";"2,53";"14,44";"8 345";"32,20";"117";"16,24"
"NewEleven Sister Birthday Gifts - Gift For Sister, Soul Sis, Sisters In Law - Sisters Gifts From Sister, Brother, Friend, Family - Decorative Glass Scripture Jar With 92 Bible Verse COG: 2,59 / Price: 18,98";"B0F13S4HSG";"M7-LMCU-PTYK";"18";"";"341,64";"-3,99";"-117,99";"-117,99";"";"";"";"";"";"";"-";"";"-130,55";"-46,62";"";"42,49";"42,49";"89,11";"";"12,44";"91,14";"17 178";"34,54";"183";"9,84"
"NewEleven Retirement Gift For Woman 2025 - Cool Retirement Gifts - Coworker Leaving Gifts, Farewell Presents, Retired Decorations, Farewell Goodbye Gift For Coworkers, Friends - 16 Oz Wine Glass COG: 4,48 / Price: 22,98";"B0DH88L44J";"3E-J0TV-6W9S";"16";"2";"367,68";"-1,15";"-105,47";"-105,47";"";"";"";"";"";"12,50";"100";"-35,4";"-113,24";"-107,52";"";"4,90";"4,90";"107,94";"";"1,33";"4,56";"9 499";"28,69";"102";"15,69"
"NewEleven Fathers Day Gift For Dad - Birthday Gifts For Dad From Daughter, Son, Kids - Husband Gift - Birthday Present Ideas For Father, New Papa, Bonus Father From Daughter, Son - 20 Oz Tumbler COG: 3,56 / Price: 19,98";"B0CG8N67SJ";"FQ-Q5JW-E8TK";"15";"";"299,7";"-15";"-124,72";"-124,72";"";"";"";"";"";"";"-";"";"-115,35";"-53,4";"";"-8,77";"-8,77";"44,63";"";"-2,93";"-16,42";"7 108";"41,61";"138";"10,87"
"NewEleven Gifts For Mom, Birthday Gifts For Mom From Daughters, Son - New Mom Gift, Mother In Law - Bible Jar For Mom - Decorative Glass Inspirational Scripture Jar with 92 Bible Verse COG: 1,99 / Price: 16,98";"B0DVSKXLS5";"UI-VXIT-1YW7";"15";"";"254,7";"";"-111,8";"-111,8";"";"";"";"";"";"";"-";"";"-286,26";"-29,85";"";"-173,21";"-173,21";"-143,36";"";"-68,01";"-580,27";"17 178";"43,89";"124";"12,10"
"NewEleven Gifts For Aunt - Aunt Gifts From Niece, Nephew - Birthday Gift For Auntie, New Aunts, Auntie, To Be Aunts - 16 Oz Coffee Glass COG: 2,58 / Price: 15,98";"B0CQJZP6TK";"FJ-K5JP-AWYT";"13";"";"207,74";"-1,6";"-53,76";"-53,76";"";"";"";"";"";"";"-";"";"-93,21";"-33,54";"";"25,63";"25,63";"59,17";"";"12,34";"76,42";"21 840";"25,88";"78";"16,67"
"NewEleven 40th Birthday Gifts For Women, Her - 1985 40th Birthday Decorations For Women - 40 Year Old Gifts For Her, Mom, Wife, Sister, Friends - 16 Oz Coffee Glass COG: 1,99 / Price: 16,98";"B0DGGDX9P5";"EI-6RN9-0Z0A";"12";"2";"203,76";"";"-48,46";"-48,46";"";"";"";"";"";"16,67";"-";"-28,01";"-92,52";"-23,88";"";"10,89";"10,89";"34,77";"";"5,34";"45,60";"7 830";"23,78";"97";"12,37"
"NewEleven 60th Birthday Gifts For Women - 1965 60th Birthday Decorations For Woman - Turning 60-60 Year Old Gifts For Women, Mom, Wife - 20 Oz Tumbler COG: 3,26 / Price: 21,98";"B0DM63J16N";"CB-D2S7-7LAE";"12";"1";"263,76";"-1,1";"-65,53";"-65,53";"";"";"";"";"";"8,33";"";"-19,08";"-93,17";"-39,12";"";"45,76";"45,76";"84,88";"";"17,35";"116,97";"2 487";"24,84";"74";"16,22"
